date,min,max,degree_days
2014-12-13,11.11111111111111,16.11111111111111,-1.3888888888888893
2014-12-14,8.88888888888889,10.555555555555555,-5.277777777777779
2014-12-15,7.777777777777779,10,-6.111111111111111
2014-12-16,10,11.11111111111111,-4.444444444444445
2014-12-17,10,11.11111111111111,-4.444444444444445
2014-12-18,10.555555555555555,12.222222222222223,-3.6111111111111107
2014-12-19,11.11111111111111,12.222222222222223,-3.333333333333332
2014-12-20,11.666666666666668,12.777777777777779,-2.777777777777777
2014-12-21,12.222222222222223,12.777777777777779,-2.5
2014-12-22,10,12.222222222222223,-3.8888888888888893
2014-12-23,10.555555555555555,11.666666666666668,-3.8888888888888893
2014-12-24,10,11.11111111111111,-4.444444444444445
2014-12-25,8.88888888888889,10,-5.555555555555555
2014-12-26,8.88888888888889,10,-5.555555555555555
2014-12-27,10,11.11111111111111,-4.444444444444445
2014-12-28,9.444444444444445,10,-5.277777777777779
2014-12-29,8.333333333333334,9.444444444444445,-6.111111111111111
2014-12-30,5.555555555555555,7.777777777777779,-8.333333333333332
2014-12-31,5.555555555555555,7.222222222222222,-8.61111111111111
2015-01-01,5.555555555555555,7.777777777777779,-8.333333333333332
2015-01-02,6.666666666666667,8.88888888888889,-7.222222222222221
2015-01-03,7.777777777777779,8.88888888888889,-6.666666666666666
2015-01-04,8.88888888888889,11.11111111111111,-5
2015-01-05,10.555555555555555,11.666666666666668,-3.8888888888888893
2015-01-06,10.555555555555555,12.222222222222223,-3.6111111111111107
2015-01-07,9.444444444444445,10.555555555555555,-5
2015-01-08,10,10.555555555555555,-4.722222222222221
2015-01-09,9.444444444444445,10.555555555555555,-5
2015-01-10,10,10.555555555555555,-4.722222222222221
2015-01-11,10.555555555555555,10.555555555555555,-4.444444444444445
2015-01-12,10,11.11111111111111,-4.444444444444445
2015-01-13,8.88888888888889,10.555555555555555,-5.277777777777779
2015-01-14,8.333333333333334,10,-5.833333333333332
2015-01-15,7.777777777777779,11.11111111111111,-5.555555555555555
2015-01-16,11.11111111111111,12.222222222222223,-3.333333333333332
2015-01-17,10,11.666666666666668,-4.166666666666666
2015-01-18,11.11111111111111,11.666666666666668,-3.6111111111111107
2015-01-19,10,11.666666666666668,-4.166666666666666
2015-01-20,8.88888888888889,10.555555555555555,-5.277777777777779
2015-01-21,7.777777777777779,9.444444444444445,-6.388888888888889
2015-01-22,9.444444444444445,11.11111111111111,-4.722222222222221
2015-01-23,11.11111111111111,12.777777777777779,-3.0555555555555554
2015-01-24,12.777777777777779,13.88888888888889,-1.666666666666666
2015-01-25,11.666666666666668,13.333333333333334,-2.5
2015-01-26,10,11.11111111111111,-4.444444444444445
2015-01-27,10,12.222222222222223,-3.8888888888888893
2015-01-28,9.444444444444445,11.11111111111111,-4.722222222222221
2015-01-29,8.88888888888889,10.555555555555555,-5.277777777777779
2015-01-30,8.333333333333334,10.555555555555555,-5.555555555555555
2015-01-31,9.444444444444445,10,-5.277777777777779
2015-02-01,10,11.11111111111111,-4.444444444444445
2015-02-02,10,11.11111111111111,-4.444444444444445
2015-02-03,11.11111111111111,11.666666666666668,-3.6111111111111107
2015-02-04,10.555555555555555,11.11111111111111,-4.166666666666668
2015-02-05,11.11111111111111,13.333333333333334,-2.7777777777777786
2015-02-06,13.333333333333334,14.444444444444445,-1.1111111111111107
2015-02-07,13.88888888888889,14.444444444444445,-0.8333333333333321
2015-02-08,13.333333333333334,15,-0.8333333333333321
2015-02-09,13.333333333333334,13.88888888888889,-1.3888888888888893
2015-02-10,13.333333333333334,14.444444444444445,-1.1111111111111107
2015-02-11,12.222222222222223,13.333333333333334,-2.2222222222222214
2015-02-12,12.777777777777779,13.333333333333334,-1.9444444444444429
2015-02-13,12.777777777777779,13.88888888888889,-1.666666666666666
2015-02-14,11.666666666666668,13.88888888888889,-2.2222222222222214
2015-02-15,10.555555555555555,12.777777777777779,-3.333333333333332
2015-02-16,10.555555555555555,13.333333333333334,-3.0555555555555554
2015-02-17,10,12.777777777777779,-3.6111111111111107
2015-02-18,8.88888888888889,12.777777777777779,-4.166666666666666
2015-02-19,10.555555555555555,12.222222222222223,-3.6111111111111107
2015-02-20,11.11111111111111,12.222222222222223,-3.333333333333332
2015-02-21,10,12.222222222222223,-3.8888888888888893
2015-02-22,8.333333333333334,11.11111111111111,-5.277777777777779
2015-02-23,7.777777777777779,11.11111111111111,-5.555555555555555
2015-02-24,8.333333333333334,11.11111111111111,-5.277777777777779
2015-02-25,8.88888888888889,11.11111111111111,-5
2015-02-26,11.11111111111111,11.666666666666668,-3.6111111111111107
2015-02-27,10.555555555555555,11.11111111111111,-4.166666666666668
2015-02-28,9.444444444444445,12.222222222222223,-4.166666666666666
2015-03-01,7.222222222222222,10,-6.388888888888889
2015-03-02,8.88888888888889,11.666666666666668,-4.722222222222221
2015-03-03,8.333333333333334,11.11111111111111,-5.277777777777779
2015-03-04,6.666666666666667,10.555555555555555,-6.388888888888889
2015-03-05,7.777777777777779,11.11111111111111,-5.555555555555555
2015-03-06,8.333333333333334,12.222222222222223,-4.722222222222221
2015-03-07,8.88888888888889,12.777777777777779,-4.166666666666666
2015-03-08,9.444444444444445,12.777777777777779,-3.8888888888888893
2015-03-09,9.444444444444445,12.777777777777779,-3.8888888888888893
2015-03-10,10.555555555555555,12.222222222222223,-3.6111111111111107
2015-03-11,11.666666666666668,13.88888888888889,-2.2222222222222214
2015-03-12,12.222222222222223,15.555555555555557,-1.1111111111111107
2015-03-13,11.666666666666668,13.88888888888889,-2.2222222222222214
