imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
14SI003,2014,SIAL,2014-06-02,fourth,NA,NA,NA,NA,2014-06-05,2014-06-07,NA,2015,2015-06-23,2015-06-23,NA
14SI004,2014,SIAL,2014-06-02,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-06-20,2015-06-20,NA
14SI005,2014,SIAL,2014-06-02,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-07-04,2015-07-05,NA
14SI006,2014,SIAL,2014-06-02,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-05-23,2015-05-24,NA
14SI007,2014,SIAL,2014-06-03,second,NA,NA,2014-06-05,2014-06-06,2014-06-10,2014-06-19,NA,2015,2015-05-28,2015-05-28,NA
14SI007b,2014,SIAL,2014-06-03,third,NA,NA,NA,2014-06-04,2014-06-06,2014-06-09,NA,2015,2015-05-19,2015-05-19,NA
14SI008,2014,SIAL,2014-06-03,second,NA,NA,2014-06-04,2014-06-06,2014-06-08,2014-06-14,NA,2015,2015-06-11,2015-06-11,NA
14SI009,2014,SIAL,2014-06-03,second,NA,NA,NA,NA,NA,NA,third,NA,NA,NA,NA
14SI010,2014,SIAL,2014-06-04,fourth,NA,NA,NA,NA,2014-06-06,2014-06-10,NA,2015,2015-06-01,2015-06-02,NA
14SI011,2014,SIAL,2014-06-04,third,NA,NA,NA,2014-06-06,2014-06-07,2014-06-12,NA,NA,NA,NA,NA
14SI012,2014,SIAL,2014-06-04,fifth,NA,NA,NA,NA,NA,2014-06-08,NA,2015,2015-06-30,2015-06-30,NA
14SI013,2014,SIAL,2014-06-04,fourth,NA,NA,NA,NA,2014-06-06,2014-06-11,NA,2015,2015-06-01,2015-06-02,NA
14SI014,2014,SIAL,2014-06-04,second,NA,NA,2014-06-06,2014-06-09,2014-06-11,2014-06-23,NA,2015,2015-05-25,2015-05-25,NA
14SI015,2014,SIAL,2014-06-05,second,NA,NA,2014-06-07,2014-06-10,2014-06-15,2014-06-24,NA,2015,2015-06-25,2015-06-25,NA
14SI017,2014,SIAL,2014-06-06,second,NA,NA,2014-06-07,2014-06-10,2014-06-14,2014-06-22,NA,2015,2015-06-01,2015-06-02,NA
14SI018,2014,SIAL,2014-06-06,fifth,NA,NA,NA,NA,NA,2014-06-13,NA,2015,2015-05-30,2015-05-30,NA
14SI019,2014,SIAL,2014-06-06,fourth,NA,NA,NA,NA,2014-06-07,2014-06-17,NA,2015,2015-05-14,2015-05-14,NA
14SI020,2014,SIAL,2014-06-06,third,NA,NA,NA,2014-06-09,2014-06-13,2014-06-22,NA,2015,2015-06-08,2015-06-08,NA
14SI021,2014,SIAL,2014-06-06,third,NA,NA,NA,2014-06-08,2014-06-12,2014-06-20,NA,2015,2015-05-26,2015-05-26,NA
14SI024,2014,SIAL,2014-06-02,fourth,NA,NA,NA,NA,NA,2014-06-07,NA,NA,NA,NA,NA
14SI025,2014,SIAL,2014-06-09,fifth,NA,NA,NA,NA,NA,2014-06-13,NA,2015,2015-05-22,2015-05-22,NA
14SI026,2014,SIAL,2014-06-09,third,NA,NA,NA,2014-06-13,2014-06-19,2014-06-26,NA,2015,2015-06-07,2015-06-07,NA
14SI027,2014,SIAL,2014-06-09,fourth,NA,NA,NA,NA,2014-06-13,2014-06-22,NA,2015,2015-07-09,2015-07-09,NA
14SI028,2014,SIAL,2014-06-09,second,NA,NA,2014-06-10,2014-06-15,2014-06-22,2014-06-28,NA,2015,2015-06-03,2015-06-04,NA
14SI029,2014,SIAL,2014-06-09,fourth,NA,NA,NA,NA,2014-06-14,2014-06-23,NA,2015,2015-06-08,2015-06-09,NA
14SI030,2014,SIAL,2014-06-09,third,NA,NA,NA,2014-06-10,2014-06-11,2014-06-21,NA,2015,2015-05-26,2015-05-26,NA
14SI031,2014,SIAL,2014-06-11,third,NA,NA,NA,2014-06-13,2014-06-20,2014-06-27,NA,2015,2015-06-04,2015-06-04,NA
14SI032,2014,SIAL,2014-06-11,third,NA,NA,NA,2014-06-12,2014-06-20,2014-06-26,NA,2015,2015-05-11,2015-05-11,NA
14SI033,2014,SIAL,2014-06-03,fourth,NA,NA,NA,NA,NA,2014-06-09,NA,NA,NA,NA,NA
14SI034,2014,SIAL,2014-06-19,second,NA,NA,2014-06-24,2014-06-29,2014-07-02,2014-07-08,NA,2015,2015-06-06,2015-06-06,NA
14SI035,2014,SIAL,2014-06-19,first,NA,2014-06-20,2014-06-24,2014-06-28,2014-07-02,2014-07-09,NA,NA,NA,NA,NA
14SI036,2014,SIAL,2014-06-24,second,NA,NA,2014-06-30,2014-07-05,2014-07-10,2014-07-19,NA,2015,2015-06-08,2015-06-08,NA
14SI037,2014,SIAL,2014-06-24,second,NA,NA,2014-06-30,2014-07-01,2014-07-06,2014-07-12,NA,2015,2015-06-28,2015-06-28,NA
14SI038,2014,SIAL,2014-06-24,fourth,NA,NA,NA,NA,2014-06-26,2014-07-02,NA,2015,2015-06-17,2015-06-17,NA
14SI039,2014,SIAL,2014-06-24,third,NA,NA,NA,2014-06-27,2014-07-02,2014-07-07,NA,2015,2015-06-06,2015-06-06,NA
14SI040,2014,SIAL,2014-06-26,first,NA,NA,NA,NA,NA,NA,third,NA,NA,NA,NA
14SI041,2014,SIAL,2014-06-26,first,NA,2014-06-27,2014-07-01,2014-07-04,2014-07-09,2014-07-16,NA,2015,2015-05-29,2015-05-30,NA
14SI042,2014,SIAL,2014-07-01,fourth,NA,NA,NA,NA,2014-07-04,2014-07-11,NA,2015,2015-06-01,2015-06-02,NA
14SI043,2014,SIAL,2014-07-08,third,NA,NA,NA,2014-07-11,2014-07-16,2014-07-24,NA,2015,2015-05-22,2015-05-22,NA
