,date,min,max,avg,range
137,2015-04-28,51,74,63.20833333,23
138,2015-04-29,49,73,61.97916667,24
139,2015-04-30,50,72,62.27083333,22
140,2015-05-01,52,74,63.1875,22
141,2015-05-02,50,74,62.79166667,24
142,2015-05-03,47,72,61.95833333,25
143,2015-05-04,50,72,61.70833333,22
144,2015-05-05,48,69,59.27083333,21
145,2015-05-06,46,74,61.27083333,28
146,2015-05-07,47,75,63.35416667,28
147,2015-05-08,50,74,65.45833333,24
148,2015-05-09,56,75,67,19
149,2015-05-10,54,73,65.95833333,19
150,2015-05-11,54,71,64.45833333,17
151,2015-05-12,52,71,65.35416667,19
152,2015-05-13,55,70,64.5625,15
153,2015-05-14,52,77,66.1875,25
154,2015-05-15,53,77,68.16666667,24
155,2015-05-16,56,77,67.625,21
156,2015-05-17,54,78,68.72916667,24
157,2015-05-18,55,78,68.95833333,23
158,2015-05-19,56,79,68.85416667,23
159,2015-05-20,55,79,68.83333333,24
160,2015-05-21,54,76,67.77083333,22
161,2015-05-22,54,76,67.0625,22
162,2015-05-23,55,75,66.625,20
163,2015-05-24,54,76,66.20833333,22
164,2015-05-25,53,75,66.64583333,22
165,2015-05-26,55,79,68.79166667,24
166,2015-05-27,56,80,70.04166667,24
167,2015-05-28,56,78,69.8125,22
168,2015-05-29,56,76,68.75,20
169,2015-05-30,56,77,68.20833333,21
170,2015-05-31,55,75,67.75,20
171,2015-06-01,57,73,66.52083333,16
172,2015-06-02,54,74,66.35416667,20
173,2015-06-03,54,79,67.85416667,25
174,2015-06-04,55,86,69.125,31
175,2015-06-05,55,94,69.33333333,39
176,2015-06-06,57,92,69.6875,35
177,2015-06-07,57,97,70.6875,40
178,2015-06-08,57,94,69.85416667,37
179,2015-06-09,58,73,69.10416667,15
180,2015-06-10,57,74,68.58333333,17
181,2015-06-11,58,73,68.0625,15
182,2015-06-12,56,75,67.79166667,19
183,2015-06-13,56,74,68.52083333,18
184,2015-06-14,59,74,69.3125,15
185,2015-06-15,60,74,69.45833333,14
186,2015-06-16,58,75,68.5,17
187,2015-06-17,57,74,67.83333333,17
188,2015-06-18,58,74,68.22916667,16
189,2015-06-19,58,75,68.02083333,17
190,2015-06-20,56,73,67.5625,17
191,2015-06-21,57,73,69.0625,16
192,2015-06-22,60,74,69.25,14
193,2015-06-23,58,74,68.20833333,16
194,2015-06-24,60,74,69.39583333,14
195,2015-06-25,60,77,70.39583333,17
196,2015-06-26,63,82,72.8125,19
197,2015-06-27,62,80,73.16666667,18
198,2015-06-28,68,79,73.72916667,11
199,2015-06-29,65,76,71.39583333,11
200,2015-06-30,61,76,70.35416667,15
201,2015-07-01,60,76,70.70833333,16
202,2015-07-02,64,76,72.25,12
203,2015-07-03,63,76,71.25,13
204,2015-07-04,63,77,70.875,14
205,2015-07-05,63,77,72.83333333,14
206,2015-07-06,63,77,71.95833333,14
207,2015-07-07,59,77,70.64583333,18
208,2015-07-08,59,76,69.60416667,17
209,2015-07-09,70,73,71.41666667,3
