IMB ID,REARING YEAR,HOST PLANT,COLLECTION SITE,COLLECTION AREA,COLLECTION DATE,COLLECTION STAGE,HATCH DATE,Date of 2nd instar,Date 3rd instar,Date 4th instar,Date fifth instar,PUPATION DATE,LARVAL DAYS,SURVIVE TO PUPATION,STAGE AT DEATH,REARING NOTES,RELEASE YEAR,ECLOSURE DATE,RELEASE DATE,RELEASE SITE,RELEASE AREA,SEX,LAT.,LONG.,RELEASE NOTES
13SI010,2013,SIAL,Dunes,Dunes,6/11/2013,egg,6/13/2013,6/17/2013,,,,6/29/2013,16,Y,,,,,,,,,,,
13SI011,2013,SIAL,Dunes,Dunes,6/11/2013,egg,6/12/2013,6/17/2013,6/19/2013,,,6/29/2013,17,Y,,,,,,,,,,,
13SI012,2013,SIAL,Dunes,Dunes,6/11/2013,egg,6/12/2013,6/17/2013,,,,6/29/2013,17,Y,,,,,,,,,,,
13SI013,2013,SIAL,Dunes,Dunes,6/11/2013,1st,NA,6/12/2013,6/17/2013,,,6/29/2013,#VALUE!,Y,,,,,,,,,,,
13SI014,2013,SIAL,,,6/11/2013,egg,6/12/2013,6/15/2013,6/17/2013,6/19/2013,,6/29/2013,17,,,,,,,,,,,,
13SI015,2013,SIAL,Dunes,Dunes,6/11/2013,egg,6/13/2013,6/17/2013,6/19/2013,,,7/2/2013,19,Y,,,,,,,,,,,
13SI016,2013,SIAL,Dunes,Dunes,6/11/2013,1st,NA,6/15/2013,6/17/2013,6/19/2013,,6/26/2013,#VALUE!,Y,,,,,,,,,,,
13SI017,2013,SIAL,Dunes,Dunes,6/11/2013,2nd,NA,NA,6/16/2013,6/17/2013,,6/25/2013,#VALUE!,Y,,,,,,,,,,,
13SI018,2013,SIAL,,,6/11/2013,egg,6/13/2013,6/17/2013,6/19/2013,,,6/29/2013,16,,,,,,,,,,,,
13SI019,2013,SIAL,,,6/11/2013,egg,6/12/2013,,6/19/2013,,,,-41437,,,,,,,,,,,,
13SI020,2013,SIAL,,,6/11/2013,egg,,,,,,,0,,,Not IMB,,,,,,,,,
13SI021,2013,SIAL,Dunes,Dunes,6/11/2013,egg,6/13/2013,6/19/2013,,,,7/1/2013,18,Y,,,,,,,,,,,
13SI022,2013,SIAL,Dunes,Dunes,6/11/2013,3rd,NA,NA,NA,6/16/2013,6/17/2013,6/22/2013,#VALUE!,Y,,,,,,,,,,,
13SI023,2013,SIAL,Dunes,Dunes,6/11/2013,1st,NA,6/12/2013,6/18/2013,6/19/2013,,6/27/2013,#VALUE!,Y,,,,,,,,,,,
13SI024,2013,SIAL,Dunes,Dunes,6/11/2013,egg,6/14/2013,6/19/2013,,,,7/4/2013,20,Y,,,,,,,,,,,
13SI025,2013,SIAL,Dunes,Dunes,6/11/2013,2nd,NA,NA,6/17/2013,6/19/2013,6/21/2013,6/25/2013,#VALUE!,Y,,,,,,,,,,,
13SI026,2013,SIAL,,,6/11/2013,egg,,,,,,,0,,,not viable,,,,,,,,,
13SI027,2013,SIAL,,,6/11/2013,egg,,,,,,,0,,,not viable,,,,,,,,,
13SI028,2013,SIAL,Dunes,Dunes,6/11/2013,egg,6/15/2013,6/19/2013,,,,7/4/2013,19,Y,,,,,,,,,,,
13SI029,2013,SIAL,Dunes,Dunes,6/14/2013,1st,NA,6/18/2013,,,,7/3/2013,#VALUE!,Y,,,,,,,,,,,
13SI030,2013,SIAL,,,6/14/2013,egg,6/14/2013,6/19/2013,,,,,-41439,,,,,,,,,,,,
13SI031,2013,SIAL,Dunes,Dunes,6/14/2013,egg,6/15/2013,6/18/2013,,,,7/4/2013,19,Y,,,,,,,,,,,
13SI032,2013,SIAL,,,,,,,,,,,0,,,,,,,,,,,,
13SI033,2013,SIAL,,,,,,,,,,7/4/2013,41459,Y,,S33 is not listed among entries for the data sheet containing location collected data,,,,,,,,,
13SI034,2013,SIAL,,,,,,,,,,,0,,,,,,,,,,,,
13SI035,2013,SIAL,Dunes,Dunes,,,,,,,,7/9/2013,41464,Y,,,,,,,,,,,
13SI036,2013,SIAL,Dunes,Dunes,,,,,,,,7/11/2013,41466,Y,,,,,,,,,,,
13SI037,2013,SIAL,Dunes,Dunes,,,,,,,,7/9/2013,41464,Y,,,,,,,,,,,
13SI038,2013,SIAL,Dunes,Dunes,,,,,,,,7/6/2013,41461,Y,,,,,,,,,,,
14BR001,2014,BRRA,South Beach,SouthBeach,6/2/2014,First,NA,6/6/2014,6/9/2014,6/11/2014,6/18/2014,6/24/2014,#VALUE!,Y,,,2015,5/26/2015,5/26/2015,South Beach,SouthBeach,,,,
14BR002,2014,BRRA,South Beach,SouthBeach,6/2/2014,First,NA,6/6/2014,6/8/2014,6/10/2014,6/22/2014,6/24/2014,#VALUE!,Y,,,2015,6/6/2015,6/6/2015,Upper Redoubt,Redoubt,,,,
14BR003,2014,BRRA,South Beach,SouthBeach,6/2/2014,4th,NA,NA,NA,NA,6/4/2014,6/9/2014,#VALUE!,Y,,,2015,6/7/2015,6/7/2015,Upper Redoubt,Redoubt,,,,
14BR004,2014,BRRA,Redoubt,Redoubt,6/3/2014,Second,NA,NA,6/6/2014,6/8/2014,6/11/2014,6/20/2014,#VALUE!,Y,,,2015,6/19/2015,6/20/2015,Upper Redoubt,Redoubt,,,,
14BR005,2014,BRRA,Redoubt,Redoubt,6/3/2014,Second,NA,NA,6/6/2014,6/7/2014,6/11/2014,6/20/2014,#VALUE!,Y,,,2015,6/1/2015,6/2/2015,Upper Redoubt,Redoubt,,,,
14BR006,2014,BRRA,Redoubt,Redoubt,6/3/2014,Third,NA,NA,NA,6/6/2014,6/7/2014,6/12/2014,#VALUE!,Y,,,2015,5/13/2015,5/13/2015,Lower Redoubt,Redoubt,,,,
14BR007,2014,BRRA,Redoubt,Redoubt,6/3/2014,Second,NA,NA,6/5/2014,6/6/2014,6/10/2014,6/17/2014,#VALUE!,Y,,,2015,5/28/2015,5/28/2015,Upper Redoubt,Redoubt,,,,
14BR008,2014,BRRA,Redoubt,Redoubt,6/4/2014,Third,NA,NA,NA,6/6/2014,6/9/2014,6/16/2014,#VALUE!,Y,,,2015,5/26/2015,5/26/2015,South Beach,SouthBeach,,,,
14BR009,2014,BRRA,Redoubt,Redoubt,6/5/2014,Second,NA,NA,6/6/2014,6/8/2014,6/12/2014,6/21/2014,#VALUE!,Y,,,2015,6/1/2015,6/2/2015,Dunes,Dunes,,,,
14BR010,2014,BRRA,Redoubt,Redoubt,6/5/2014,First,NA,NA,NA,NA,NA,NA,#VALUE!,N,First,,,,,,,,,,
14BR011,2014,BRRA,Redoubt,Redoubt,6/3/2014,Third,NA,NA,NA,6/6/2014,6/7/2014,6/12/2014,#VALUE!,Y,,,2015,5/15/2015,5/15/2015,Lower Redoubt,Redoubt,,,,
14BR012,2014,BRRA,Redoubt,Redoubt,6/9/2014,First,NA,6/10/2014,6/16/2014,6/22/2014,6/26/2014,7/3/2014,#VALUE!,Y,,,2015,6/18/2015,6/18/2015,Upper Redoubt,Redoubt,,,,
14BR013,2014,BRRA,Redoubt,Redoubt,6/9/2014,Fourth,NA,NA,NA,NA,6/11/2014,6/20/2014,#VALUE!,Y,,,,,,,,,,,
14BR014,2014,BRRA,Redoubt,Redoubt,6/9/2014,First,NA,NA,NA,NA,NA,NA,#VALUE!,N,First,,,,,,,,,,
14BR015,2014,BRRA,Redoubt,Redoubt,6/9/2014,First,NA,6/10/2014,6/12/2014,6/20/2014,6/25/2014,7/1/2014,#VALUE!,Y,,,2015,6/28/2015,6/28/2015,Upper Redoubt,Redoubt,,,,
14BR016,2014,BRRA,Redoubt,Redoubt,6/9/2014,Second,NA,NA,6/12/2014,6/18/2014,6/24/2014,7/1/2014,#VALUE!,Y,,,2015,6/2/2015,6/2/2015,Lower Redoubt,Redoubt,,,,
14BR017,2014,BRRA,Redoubt,Redoubt,6/9/2014,Second,NA,NA,6/16/2014,6/20/2014,6/25/2014,7/2/2014,#VALUE!,Y,,,2015,5/30/2015,5/30/2015,Upper Redoubt,Redoubt,,,,
14BR018,2014,BRRA,Redoubt,Redoubt,6/9/2014,Second,NA,NA,6/13/2014,6/20/2014,6/25/2014,7/1/2014,#VALUE!,Y,,,2015,5/18/2015,5/18/2015,Lower Redoubt,Redoubt,,,,
14BR019,2014,BRRA,Redoubt,Redoubt,6/9/2014,Third,NA,NA,NA,NA,NA,NA,#VALUE!,N,Third,,,,,,,,,,
14BR020,2014,BRRA,Redoubt,Redoubt,6/9/2014,Second,NA,NA,6/12/2014,6/18/2014,6/20/2014,7/1/2014,#VALUE!,Y,,,2015,6/15/2015,6/15/2015,Lambert #5,Lambert #5,,,,
14BR021,2014,BRRA,Redoubt,Redoubt,6/9/2014,First,NA,6/12/2014,6/16/2014,6/23/2014,6/27/2014,7/5/2014,#VALUE!,Y,,,,,,,,,,,
14BR022,2014,BRRA,Redoubt,Redoubt,6/9/2014,First,NA,NA,NA,NA,NA,NA,#VALUE!,Y,,,,,,,,,,,
14BR023,2014,BRRA,Redoubt,Redoubt,6/9/2014,Third,NA,NA,NA,6/13/2014,6/20/2014,6/27/2014,#VALUE!,Y,,,2015,6/3/2015,6/4/2015,Dunes,Dunes,,,,
14BR024,2014,BRRA,Redoubt,Redoubt,6/9/2014,Third,NA,NA,NA,6/11/2014,6/18/2014,6/26/2014,#VALUE!,Y,,,2015,6/3/2015,6/4/2015,Dunes,Dunes,,,,
14BR025,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,NA,NA,NA,NA,NA,NA,#VALUE!,N,Egg,,,,,,,,,,
14BR026,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,NA,NA,NA,NA,NA,NA,#VALUE!,N,Egg,,,,,,,,,,
14BR027,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/13/2014,6/22/2014,6/25/2014,6/29/2014,7/3/2014,7/10/2014,27,Y,,,2015,5/27/2015,5/27/2015,Dunes,Dunes,,,,
14BR028,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/16/2014,6/20/2014,6/28/2014,7/1/2014,7/6/2014,7/11/2014,25,Y,,,2015,6/15/2015,6/15/2015,Lambert #5,Lambert #5,,,,
14BR029,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/12/2014,6/20/2014,6/24/2014,6/28/2014,7/2/2014,7/9/2014,27,Y,,,2015,6/1/2015,6/2/2015,Upper Redoubt,Redoubt,,,,
