imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
15BR032b,2015,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016-05-17,2016-05-17,NA
15BR033,2015,BRRA,2015-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15BR037,2015,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15BR038,2015,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15BR042,2015,BRRA,2015-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15BR055,2015,BRRA,2015-06-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15SI002,2015,SIAL,2015-04-30,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15SI004,2015,SIAL,2015-04-30,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
15SI047a,2015,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016-05-02,2016-05-02,NA
15SI047b,2015,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016-05-11,2016-05-11,NA
16BR002,2016,BRRA,2016-05-03,egg,2016-05-09,2016-05-13,2016-05-17,2016-05-29,2016-05-28,2016-06-03,NA,2017,2017-05-16,2017-05-17,NA
16BR007,2016,BRRA,2016-05-06,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16BR053,2016,BRRA,2016-05-29,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16LE017,2016,LEVI,2016-06-07,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI016,2016,SIAL,2016-05-06,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
16SI028,2016,SIAL,2016-05-10,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI032,2016,SIAL,2016-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
