imb_id,rearing_year,host_plant,collection_stage,mispupation,sex,stage,duration,start,end,mean_temp,stage2,after_2018,after_june
14BR035,2014,BRRA,egg,N,NA,fifth,6,21,27,16.608157266348282,pupa,FALSE,TRUE
14BR035,2014,BRRA,egg,N,NA,pupa,325,27,352,12.672816674139966,adult,FALSE,TRUE
14BR036,2014,BRRA,egg,N,NA,first,2,0,2,15.629493284493284,second,FALSE,TRUE
14BR036,2014,BRRA,egg,N,NA,second,9,2,11,15.291319891528225,third,FALSE,TRUE
14BR036,2014,BRRA,egg,N,NA,third,4,11,15,15.638051550590614,fourth,FALSE,TRUE
14BR036,2014,BRRA,egg,N,NA,fourth,5,15,20,16.037968707223392,fifth,FALSE,TRUE
14BR036,2014,BRRA,egg,N,NA,fifth,6,20,26,16.510311239175994,pupa,FALSE,TRUE
14BR036,2014,BRRA,egg,N,NA,pupa,329,26,355,12.690945582398536,adult,FALSE,TRUE
14BR037,2014,BRRA,egg,N,NA,first,5,0,5,14.986869581036247,second,FALSE,TRUE
14BR037,2014,BRRA,egg,N,NA,second,9,5,14,15.617625357667023,third,FALSE,TRUE
14BR037,2014,BRRA,egg,N,NA,third,4,14,18,15.802053132545154,fourth,FALSE,TRUE
14BR037,2014,BRRA,egg,N,NA,fourth,3,18,21,16.20234134174354,fifth,FALSE,TRUE
14BR037,2014,BRRA,egg,N,NA,fifth,7,21,28,16.608816420173262,pupa,FALSE,TRUE
14BR037,2014,BRRA,egg,N,NA,pupa,331,28,359,12.722838223528182,adult,FALSE,TRUE
14BR038,2014,BRRA,egg,N,NA,first,2,0,2,15.629493284493284,second,FALSE,TRUE
14BR038,2014,BRRA,egg,N,NA,second,11,2,13,15.456027168928955,third,FALSE,TRUE
14BR038,2014,BRRA,egg,N,NA,third,5,13,18,15.802053132545154,fourth,FALSE,TRUE
14BR038,2014,BRRA,egg,N,NA,fourth,4,18,22,16.248978674711214,fifth,FALSE,TRUE
14BR038,2014,BRRA,egg,N,NA,fifth,7,22,29,16.692966983945265,pupa,FALSE,TRUE
14BR038,2014,BRRA,egg,N,NA,pupa,347,29,376,12.903489651754798,adult,FALSE,TRUE
14BR040,2014,BRRA,egg,N,NA,first,5,0,5,14.986869581036247,second,FALSE,TRUE
14BR040,2014,BRRA,egg,N,NA,second,9,5,14,15.617625357667023,third,FALSE,TRUE
14BR040,2014,BRRA,egg,N,NA,third,3,14,17,15.768406511703645,fourth,FALSE,TRUE
14BR040,2014,BRRA,egg,N,NA,fourth,4,17,21,16.20234134174354,fifth,FALSE,TRUE
14BR040,2014,BRRA,egg,N,NA,fifth,8,21,29,16.692966983945265,pupa,FALSE,TRUE
14BR040,2014,BRRA,egg,N,NA,pupa,333,29,362,12.763118569742037,adult,FALSE,TRUE
14BR043,2014,BRRA,egg,N,NA,first,2,0,2,15.629493284493284,second,FALSE,TRUE
14BR043,2014,BRRA,egg,N,NA,second,10,2,12,15.315385028077335,third,FALSE,TRUE
14BR043,2014,BRRA,egg,N,NA,third,4,12,16,15.728250198875198,fourth,FALSE,TRUE
14BR043,2014,BRRA,egg,N,NA,fourth,4,16,20,16.037968707223392,fifth,FALSE,TRUE
14BR043,2014,BRRA,egg,N,NA,fifth,6,20,26,16.510311239175994,pupa,FALSE,TRUE
14BR043,2014,BRRA,egg,N,NA,pupa,336,26,362,12.763118569742037,adult,FALSE,TRUE
14BR044,2014,BRRA,egg,N,NA,first,3,0,3,15.60625,second,FALSE,TRUE
14BR044,2014,BRRA,egg,N,NA,second,9,3,12,16.905884934873274,third,FALSE,TRUE
14BR044,2014,BRRA,egg,N,NA,third,5,12,17,17.172411005152583,fourth,FALSE,TRUE
14BR044,2014,BRRA,egg,N,NA,fourth,4,17,21,17.42544715848572,fifth,FALSE,TRUE
14BR044,2014,BRRA,egg,N,NA,fifth,7,21,28,17.148742804291196,pupa,FALSE,TRUE
14BR044,2014,BRRA,egg,N,NA,pupa,326,28,354,12.712367467650505,adult,FALSE,TRUE
14SI016,2014,SIAL,egg,N,NA,first,4,0,4,16.01424358974359,second,FALSE,TRUE
14SI016,2014,SIAL,egg,N,NA,second,9,4,13,15.4770411995412,third,FALSE,TRUE
